+-----------+-----------------------------------------------------------------------------------------------------+---------------------------+--------------+----------------+
|     ID    |                                                 Name                                                |           Domain          | Seller type  | Direct domain? |
+-----------+-----------------------------------------------------------------------------------------------------+---------------------------+--------------+----------------+
| 539743255 |                                    1&1 Mail & Media GmbH (via EB)                                   |         google.com        | INTERMEDIARY |    indirect    |
| 537113401 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 537113670 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 537113701 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 537115570 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 537120563 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 537137675 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 539266264 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 539392223 |                                       33Across, Inc. (via EB)                                       |         google.com        | INTERMEDIARY |    indirect    |
| 540995201 |                                            33Across, Inc.                                           |        33across.com       | INTERMEDIARY |     direct     |
| 539867765 |                                      ABC Startsiden AS (via EB)                                     |         google.com        | INTERMEDIARY |    indirect    |
| 540068634 |                                        Actindi Inc. (via EB)                                        |         google.com        | INTERMEDIARY |    indirect    |
| 540717823 |                                        AddApptr GmbH (via EB)                                       |         google.com        | INTERMEDIARY |    indirect    |
| 537151480 |                                         Digital Matter, UAB                                         |      digitalmatter.ai     | INTERMEDIARY |     direct     |
| 537151512 |                                         Digital Matter, UAB                                         |      digitalmatter.ai     | INTERMEDIARY |     direct     |
| 537151513 |                                         Digital Matter, UAB                                         |      digitalmatter.ai     | INTERMEDIARY |     direct     |
| 540420453 |                                         Digital Matter, UAB                                         |      digitalmatter.ai     | INTERMEDIARY |     direct     |
| 540447821 |                                     Digital Matter, UAB (via EB)                                    |         google.com        | INTERMEDIARY |    indirect    |
| 541135110 |                                         Digital Matter, UAB                                         |      digitalmatter.ai     | INTERMEDIARY |     direct     |
| 537141601 |                                              ADOP Inc.                                              |          adop.cc          | INTERMEDIARY |     direct     |
| 545697889 |                                          ADOP Inc. (via EB)                                         |         google.com        | INTERMEDIARY |    indirect    |
| 556892418 |                                          ADOP Inc. (via EB)                                         |         google.com        | INTERMEDIARY |    indirect    |
| 540158165 |                                AdTech Factory GmbH & Co. KG (via EB)                                |         google.com        | INTERMEDIARY |    indirect    |
| 541036055 |                                     AdTech Factory GmbH & Co. KG                                    |     adtechfactory.com     | INTERMEDIARY |     direct     |
| 542273035 |                                     AdTech Factory GmbH & Co. KG                                    |     adtechfactory.com     | INTERMEDIARY |     direct     |
| 539478686 |                                     American Media Inc. (via EB)                                    |         google.com        | INTERMEDIARY |    indirect    |
| 537130036 |                                          Anyclip Media Ltd.                                         |        anyclip.com        | INTERMEDIARY |     direct     |
| 537139983 |                                          Anyclip Media Ltd.                                         |        anyclip.com        | INTERMEDIARY |     direct     |
| 540306956 |                                          Anyclip Media Ltd.                                         |        anyclip.com        | INTERMEDIARY |     direct     |
| 540917439 |                                          Anyclip Media Ltd.                                         |        anyclip.com        | INTERMEDIARY |     direct     |
| 541002037 |                                     Anyclip Media Ltd. (via EB)                                     |         google.com        | INTERMEDIARY |    indirect    |
| 539253360 |                                             Apester Ltd.                                            |        apester.com        | INTERMEDIARY |     direct     |
| 539394971 |                                             Apester Ltd.                                            |        apester.com        | INTERMEDIARY |     direct     |
| 539913542 |                                             Apester Ltd.                                            |        apester.com        | INTERMEDIARY |     direct     |
| 540586807 |                                             Apester Ltd.                                            |        apester.com        | INTERMEDIARY |     direct     |
| 550981733 |                                        Apester Ltd. (via EB)                                        |         google.com        | INTERMEDIARY |    indirect    |
| 539342220 |                                        Aranzulla Srl (via EB)                                       |         google.com        | INTERMEDIARY |    indirect    |
| 540154109 |                                            Ascendeum Co.                                            |       ascendeum.com       | INTERMEDIARY |     direct     |
| 540907801 |                                            Ascendeum Co.                                            |       ascendeum.com       | INTERMEDIARY |     direct     |
| 538914233 |                                 The Associated Press, Inc. (via EB)                                 |         google.com        | INTERMEDIARY |    indirect    |
| 540316007 |                                        Atwiki, Inc. (via EB)                                        |         google.com        | INTERMEDIARY |    indirect    |
| 540310767 |                                       Netmums Limited (via EB)                                      |         google.com        | INTERMEDIARY |    indirect    |
| 539375879 |                                     Auto Trader Limited (via EB)                                    |         google.com        | INTERMEDIARY |    indirect    |
| 540105396 |                                    Barstool Sports, Inc. (via EB)                                   |         google.com        | INTERMEDIARY |    indirect    |
| 539360738 |                                  Bauer Publishing Co., LP (via EB)                                  |         google.com        | INTERMEDIARY |    indirect    |
| 539435937 |                                      Bazaarvoice, Inc. (via EB)                                     |         google.com        | INTERMEDIARY |    indirect    |
| 537116295 |                                           Content IQ, LLC                                           |       contentiq.com       |     BOTH     |     direct     |
| 540544804 |                                       Content IQ, LLC (via EB)                                      |         google.com        | INTERMEDIARY |    indirect    |
| 541007207 |                                           Content IQ, LLC                                           |       contentiq.com       |     BOTH     |     direct     |
| 556568893 |                                       Content IQ, LLC (via EB)                                      |         google.com        | INTERMEDIARY |    indirect    |
| 539228155 |                              Boston Globe Media Partners, LLC (via EB)                              |         google.com        | INTERMEDIARY |    indirect    |
| 539862998 |                                        BrainJolt LLC (via EB)                                       |         google.com        | INTERMEDIARY |    indirect    |
| 540137504 |                                   Branding Engineer, Inc. (via EB)                                  |         google.com        | INTERMEDIARY |    indirect    |
| 538916942 |                                      Business Advertising GmbH                                      |       businessad.de       | INTERMEDIARY |     direct     |
| 540948329 |                                  Business Advertising GmbH (via EB)                                 |         google.com        | INTERMEDIARY |    indirect    |
| 539361114 |                                       BuzzFeed, Inc. (via EB)                                       |         google.com        | INTERMEDIARY |    indirect    |
| 537143229 |                                              CafeMedia                                              |       cafemedia.com       |     BOTH     |     direct     |
| 538995728 |                                          CafeMedia (via EB)                                         |         google.com        | INTERMEDIARY |    indirect    |
| 539404983 |                                          CafeMedia (via EB)                                         |         google.com        | INTERMEDIARY |    indirect    |
| 540255318 |                                              CafeMedia                                              |       cafemedia.com       |     BOTH     |     direct     |
| 540814319 |                                              CafeMedia                                              |       cafemedia.com       |     BOTH     |     direct     |
| 537127365 |                                         Carambola Media Ltd.                                        |       carambola.com       | INTERMEDIARY |     direct     |
| 537136996 |                                         Carambola Media Ltd.                                        |       carambola.com       | INTERMEDIARY |     direct     |
| 537138462 |                                         Carambola Media Ltd.                                        |       carambola.com       | INTERMEDIARY |     direct     |
| 537140323 |                                         Carambola Media Ltd.                                        |       carambola.com       | INTERMEDIARY |     direct     |
| 540589597 |                                         Carambola Media Ltd.                                        |       carambola.com       | INTERMEDIARY |     direct     |
| 540594919 |                                         Carambola Media Ltd.                                        |       carambola.com       | INTERMEDIARY |     direct     |
| 539911205 |                                       CarGurus, Inc. (via EB)                                       |         google.com        | INTERMEDIARY |    indirect    |
| 539324013 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540708419 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762901 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762902 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762903 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762904 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762905 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762906 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762907 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762908 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762909 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762910 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762911 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762912 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762913 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762915 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762916 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762917 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762918 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762919 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762920 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762921 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762922 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762923 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762924 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762925 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762926 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762927 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762928 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762929 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762930 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762931 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762932 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762933 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762934 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762935 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762936 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762937 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762938 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762939 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762940 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762941 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762942 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762943 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762944 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
| 540762945 |                                      Cyber Communications Inc.                                      |         cci.co.jp         | INTERMEDIARY |     direct     |
